Rond&ocirc;nia | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Alta Floresta D'Oeste,1100015,alta-florense,GIOVAN DAMO,7067.127,21494,3.04,95.7,0.641,5.43,34488924.21,39038205.02,32619.88,
Ariquemes,1100023,ariquemense,CARLA GON&Ccedil;ALVES REZENDE,4426.143,96833,21.88,97.2,0.702,21.26,539844222.53,488450608.40,28878.27,
Cabixi,1100031,cabixiense,SILVANO ASCARI DE ALMEIDA,1314.352,5351,4.07,98.1,0.650,-,48454961.46,40343087.11,47051.83,
Cacoal,1100049,cacoalense,ADAILTON ANTUNES FERREIRA,3793.000,86887,22.91,97.6,0.718,9.61,400470224.60,390313644.70,32313.26,
Cerejeiras,1100056,cerejeirense,SIN&Eacute;SIO JOS&Eacute; DE SOUZA,2783.297,15890,5.71,98.5,0.692,3.68,119336366.65,97280359.62,46185.81,
Colorado do Oeste,1100064,coloradense,EDMILSON RODRIGUES DE ALMEIDA,1451.063,15663,10.79,97.6,0.685,19.51,103636927.25,98406145.24,27923.92,
Corumbiara,1100072,corumbiarense,LEANDRO TEIXEIRA VIEIRA,3060.321,7519,2.46,97.1,0.613,29.13,76541292.60,74822724.50,56257.46,
Costa Marques,1100080,costa-marquense,FABIOMAR AGOSTINI BENTO,4987.177,12627,2.53,97.6,0.611,13.76,81601676.21,67749761.31,16446.15,
Espig&atilde;o D'Oeste,1100098,espig&atilde;oense,WELITON PEREIRA CAMPOS,4518.038,29414,6.51,95.9,0.672,10.82,146477583.28,139994168.60,23429.38,
Guajar&aacute;-Mirim,1100106,guajar&aacute;-mirense,FABIO GARCIA DE OLIVEIRA,24856.877,39387,1.58,93.1,0.657,16.04,180392533.24,162810568.90,22462.79,
Jaru,1100114,jaruense,JEVERSON LUIZ DE LIMA,2944.140,50591,17.18,97.8,0.689,13.48,271817817.20,223657207.20,34294.21,
Ji-Paran&aacute;,1100122,ji-paranaense,AFFONSO ANT&Ocirc;NIO C&Acirc;NDIDO,6896.649,124333,18.03,96.6,0.714,10.45,571278191.28,544175882.00,32292.16,
Machadinho D'Oeste,1100130,machadinhense,PAULO HENRIQUE DOS SANTOS,8509.270,30707,3.61,93.2,0.596,24.1,180971837.45,186811878.50,21338.33,
Nova Brasil&acirc;ndia D'Oeste,1100148,brasilandense,CLODOALDO ALVES PEDROSO,1703.008,15679,9.21,97.5,0.643,16.95,114036465.41,96048309.94,26762.31,
Ouro Preto do Oeste,1100155,ouro-pretense,JUAN ALEX TESTONI,1969.879,35044,17.79,96.1,0.682,1.88,206371966.44,172165196.70,27814.02,
Pimenta Bueno,1100189,pimenta-buenense,MARCILENE RODRIGUES DA SILVA SOUZA,6241.019,35079,5.62,97.7,0.710,18.74,208000613.40,195946603.80,44275.07,
Porto Velho,1100205,porto-velhense,LEONARDO BARRETO DE MORAES,34091.146,460434,13.51,94.5,0.736,13.33,2466501221.83,2517759370.00,36541.49,
Presidente M&eacute;dici,1100254,mediciense,SERGIO PEDRO DA SILVA,1758.464,19327,10.99,96.9,0.664,10.2,105025151.75,93052142.24,30827.94,
Rio Crespo,1100262,rio-crespense,EDER DA SILVA,1717.640,3471,2.02,97.8,0.643,28.57,44146064.40,46767807.78,47991.2,
Rolim de Moura,1100288,rolimorense,ALDAIR JULIO PEREIRA,1457.812,56406,38.69,97.9,0.700,9.58,266571660.71,250327870.60,28076.24,
Santa Luzia D'Oeste,1100296,santa-luziense,JURANDIR DE OLIVEIRA ARAUJO,1197.796,7419,6.19,93.9,0.670,13.7,65635483.27,56807461.09,35940.09,
Vilhena,1100304,vilhenense,FLORI CORDEIRO DE MIRANDA JUNIOR,11708.579,95832,8.19,97.8,0.731,13.75,592981688.59,519405255.80,40328.81,
S&atilde;o Miguel do Guapor&eacute;,1100320,miguelense,EDILSON CRISPIN DIAS,6789.605,21635,2.90,98,0.646,5.15,123936628.89,120298015.00,39112.42,
Nova Mamor&eacute;,1100338,nova-mamonense ou nova-mamorense,MARC&Eacute;LIO RODRIGUES UCH&Ocirc;A,10070.490,25444,2.53,92.8,0.587,4.31,189463774.76,150576125.80,23076.28,
Alvorada D'Oeste,1100346,alvoradense,JAIR LUIZ,3029.189,13117,4.33,97.6,0.643,5.46,82737296.29,69270980.24,25539.82,
Alto Alegre dos Parecis,1100379,alto-alegrense,DENAIR PEDRO DA SILVA,3958.273,11479,2.90,95.9,0.592,6.67,80920756.95,71047104.58,36454.01,
Alto Para&iacute;so,1100403,alto-paraisense,JO&Atilde;O PAVAN,2651.991,16320,6.15,95.7,0.625,24.51,94133259.07,89113437.23,22929.34,
Buritis,1100452,buritisense,VALTAIR FRITZ DOS REIS,3265.810,27992,8.57,94.9,0.616,13.54,165406323.81,142698807.90,23549.74,
Novo Horizonte do Oeste,1100502,novo-horizontino,RONALDO DELAZARI,843.446,7667,9.09,97.5,0.634,-,58906052.16,44144287.88,28492.53,
Cacaul&acirc;ndia,1100601,cacaulandense,DANIEL MARCELINO DA SILVA,1962.026,4150,2.12,95.5,0.646,15.63,52768490.79,40286103.26,43655.88,
Campo Novo de Rond&ocirc;nia,1100700,campo-novense,ALEXANDRE JOSE SILVESTRE DIAS,3442.005,8844,2.57,90.6,0.593,36.5,87957661.51,74757210.18,25667.21,
Candeias do Jamari,1100809,candeiense,LINDOMAR BARBOSA ALVES,6843.673,22310,3.26,95.7,0.649,11.98,110649703.10,111213950.60,23357.78,
Castanheiras,1100908,castanheirense,CICERO APARECIDO GODOI,892.841,3233,3.62,97.9,0.658,-,39136518.26,35683077.50,34083.75,
Chupinguaia,1100924,chupinguaiense,WESLEY WANDERLEY DA COSTA GON&Ccedil;ALVES,5117.290,9324,1.82,97,0.652,12.35,94267265.67,89779650.22,39880.28,
Cujubim,1100940,cujubiense,JOAO BECKER,3863.946,14863,3.85,94.4,0.612,14.42,120743954.14,106712002.90,17967.64,
Governador Jorge Teixeira,1101005,jorge-teixeirense,GILMAR TOMAZ DE SOUZA,5067.384,8001,1.58,93.6,0.596,23.26,61750050.49,56961574.62,33566.66,
Itapu&atilde; do Oeste,1101104,jamariense,IDIZNEI CASTRO MARTINS,4081.581,8548,2.09,96.3,0.614,9.35,77063030.53,63844035.23,19413.13,
Ministro Andreazza,1101203,andreazense,JOS&Eacute; ALVES PEREIRA,798.083,6466,8.10,95.5,0.638,-,50778063.54,43182955.09,31484.85,
Mirante da Serra,1101302,mirantense,JOSE CARLOS PEREIRA DE ANDRADE,1191.875,9235,7.75,98,0.643,30.77,64423021.18,57161097.63,24566.5,
Monte Negro,1101401,monte-negrino,IVAIR JOSE FERNANDES,1931.378,11548,5.98,93.5,0.607,36.14,98224609.15,89461935.04,24129.89,
Nova Uni&atilde;o,1101435,nova-uniense,JO&Atilde;O JOS&Eacute; DE OLIVEIRA,807.140,6200,7.68,98.7,0.587,9.71,42125009.44,32020953.66,23060.8,
Parecis,1101450,parecisense,MARCONDES DE CARVALHO,2548.683,4125,1.62,97.7,0.617,-,43361106.87,41454075.25,24597.92,
Pimenteiras do Oeste,1101468,pimenteirense,VALERIA APARECIDA MARCELINO GARCIA,6014.733,2156,0.36,93.8,0.665,-,43366698.19,42234286.50,115753.94,
Primavera de Rond&ocirc;nia,1101476,primaverense,LUCAS NUNES DA SILVA,605.692,3076,5.08,98.6,0.641,50,38725195.96,33913500.54,39684.71,
S&atilde;o Felipe D'Oeste,1101484,s&atilde;o-felipense,SIDNEY BORGES DE OLIVEIRA,541.647,5258,9.71,98.7,0.649,-,56704453.93,44160745.90,26335.31,
S&atilde;o Francisco do Guapor&eacute;,1101492,s&atilde;o-francisquense,JOS&Eacute; WELLINGTON DRUMOND GOUVEA,10948.593,16286,1.49,95.7,0.611,24.48,126617942.68,102512284.70,23143.16,
Seringueiras,1101500,seringueinense,ARMANDO BERNARDO DA SILVA,4444.017,11171,2.96,95.9,0.598,10.7,78159845.67,66348924.93,28109.66,
Teixeir&oacute;polis,1101559,teixeirense,OSMY TOLEDO DE SOUZA,459.935,4256,9.25,99.2,0.643,-,38338336.69,36484992.96,29158.81,
Theobroma,1101609,theobromense,GILLIARD DOS SANTOS GOMES,2197.413,8113,3.69,98.4,0.589,10.99,69617298.80,59387322.12,24876.86,
Urup&aacute;,1101708,urupaense,EZEQUIEL SALDANHA,831.857,10725,12.89,96.6,0.609,12.42,83703828.86,68288008.65,24682,
Vale do Anari,1101757,anariense,CLEONE LIMA RIBEIRO,3135.106,7788,2.48,94.8,0.584,24.69,58221125.31,45316617.20,19106.79,
Vale do Para&iacute;so,1101807,vale-paraisense,CHARLES LUIS PINHEIRO GOMES,965.676,6479,6.71,97.5,0.627,35.71,47093752.83,42659071.59,28605.27,