Alagoas | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2022],Total de despesas brutas empenhadas - R$ [2022],PIB per capita - R$ [2021],
&Aacute;gua Branca,2700102,&aacute;gua-branquense,NAYARA EMMANUELA BATISTA FEITOSA,473.845,19008,40.60,97,0.549,23.08,112148272.59,134398903.60,10001.22,
Anadia,2700201,anadiense,PAULO VICTOR PEREIRA ROCHA,186.134,13966,75.03,94.4,0.568,10.87,84245233.80,96537615.23,14306.13,
Arapiraca,2700300,arapiraquense,JOSE LUCIANO BARBOSA DA SILVA,345.655,234696,678.99,95.9,0.649,10.62,1025070037.12,1012564524.00,25248.44,
Atalaia,2700409,atalaiense,CECILIA LIMA HERRMANN,533.259,37512,70.34,92.5,0.561,18.62,230590055.40,252969059.00,31559.62,
Barra de Santo Ant&ocirc;nio,2700508,barrense,LIVIA CARLA DA SILVA ALVES,131.364,16365,124.58,93.3,0.557,17.3,97332920.99,108652459.60,16172.16,
Barra de S&atilde;o Miguel,2700607,barrense,LUIZ HENRIQUE LIMA ALVES PINTO,74.332,7944,106.99,96.2,0.615,6.71,83853905.94,92157690.18,28270.19,
Batalha,2700706,batalhense,WAGNEY DANTAS CORREIA CAJE,331.752,16448,52.07,95.9,0.594,11.49,105187164.12,101459717.60,12469.24,
Bel&eacute;m,2700805,belenense,ADALBERTO ANTERO TORRES,66.629,4722,70.87,97.5,0.593,15.87,48524303.78,44210438.16,45271.74,
Belo Monte,2700904,belo-montense,DALMO AUGUSTO DE ALMEIDA J&Uacute;NIOR,322.887,5936,17.77,96.3,0.517,8.4,58630718.82,67191613.27,22537.83,
Boca da Mata,2701001,matense,BRUNO FEIJ&Oacute; TEIXEIRA,192.952,21187,109.78,95.3,0.604,7.41,142375540.57,135146103.90,18448.64,
Branquinha,2701100,branquinhense,RAIMUNDO JOS&Eacute; DE FREITAS LOPES,168.048,9603,57.14,90,0.513,20.69,80241913.31,95351823.51,74372.69,
Cacimbinhas,2701209,cacimbinhense,WLADIMIR ARA&Uacute;JO WANDERLEY,281.854,10482,37.21,96.5,0.531,13.7,89173428.65,87074538.79,12862.72,
Cajueiro,2701308,cajueirense,LUCILA R&Eacute;GIA ALBUQUERQUE TOLEDO,107.168,16024,169.82,96.2,0.562,7.04,105746798.33,115593393.20,9714.88,
Campestre,2701357,camprestrense,NELSON MENDES DA SILVA NETO,65.019,6665,101.12,95.5,0.559,10.31,48133969.88,44852664.55,12587.35,
Campo Alegre,2701407,campo-alegrense,PAULINE DE F&Aacute;TIMA PEREIRA ALBUQUERQUE,312.726,32106,102.66,91.1,0.570,10.16,240404381.63,251030458.90,12667,
Campo Grande,2701506,campo-grandense,TEOGENES HIGINO MELO LESSA,170.145,8143,47.86,96.3,0.524,13.33,38238182.79,35593480.20,11081.26,
Canapi,2701605,canapiense,JOS&Eacute;LIA MELO DE LIMA,599.400,15559,25.81,97.5,0.506,24.1,134297153.93,126188296.40,9397.43,
Capela,2701704,capelense,THIAGO DE MEDEIROS MOURA,253.168,15032,57.00,93,0.573,10.26,96178316.72,98826349.08,14667.35,
Carneiros,2701803,carneirense,UBIRATANIA MARIA SANTANA,111.695,8999,80.57,96.2,0.526,12.9,58729709.59,71009228.28,9487.37,
Ch&atilde; Preta,2701902,ch&atilde;-pretense,MAURICIO DE VASCONCELOS HOLANDA,157.831,5910,37.45,97.6,0.575,-,50070556.67,50945481.86,24000.91,
Coit&eacute; do N&oacute;ia,2702009,coitenense,BUENO HIGINO DE SOUZA SILVA,88.759,10810,121.79,96.4,0.533,6.13,71278289.46,70681879.31,19962.67,
Col&ocirc;nia Leopoldina,2702108,leopoldinense,ALEXANDRE GILBERTO SOBREIRA,201.463,15816,76.06,92.6,0.517,8.26,114511373.49,100097247.50,18115.76,
Coqueiro Seco,2702207,coqueirense,JADIELSON SILVA DO NASCIMENTO,39.608,5581,140.91,95.7,0.586,12.82,51421510.57,53301390.98,16327.02,
Coruripe,2702306,coruripense,MARCELO BELTR&Atilde;O SIQUEIRA,897.800,50414,56.15,97.6,0.626,5.05,392704631.71,361743200.90,30919.95,
Cra&iacute;bas,2702355,craibense,TE&Oacute;FILO JOS&Eacute; BARROSO PEREIRA,277.617,25397,91.07,96.5,0.525,15.95,176321979.39,176019206.30,19704.12,
Delmiro Gouveia,2702405,delmirense,ELIZIANE FERREIRA COSTA LIMA,628.547,51318,81.65,96.1,0.612,11.3,318952600.10,315265315.40,12834.04,
Dois Riachos,2702504,riachense,ROZINEIDE BARBOSA DE ARA&Uacute;JO CAMILO,142.364,9805,69.23,93.9,0.532,30.86,98178573.25,77059497.25,9516.99,
Estrela de Alagoas,2702553,estrelense,ROBERTO FERREIRA WANDERLEY,260.772,15429,59.17,96.7,0.534,26.43,86679914.55,81984463.50,8431.41,
Feira Grande,2702603,feira-grandense,D&Aacute;RIO ROBERTO SILVA LIRA,175.906,22712,129.11,94.8,0.533,8.36,134309500.23,93520481.16,19265.73,
Feliz Deserto,2702702,feliz-desertense,JORGE LUIS SILVA NUNES,110.062,3963,36.01,96.5,0.565,37.74,51299688.45,49097795.76,34150.21,
Flexeiras,2702801,flexeirense,SILVANA MARIA CAVALCANTE DA COSTA PINTO,333.756,9618,28.82,95.8,0.527,21.13,71667029.46,70420727.38,23221.2,
Girau do Ponciano,2702900,girauense,GILBERTO BEZERRA BARROS,517.852,36102,70.31,94.3,0.536,7.69,300944384.67,234511445.20,13225.91,
Ibateguara,2703007,ibateguarense,MANOEL GERAERTES ALVES CRUZ,265.312,13731,51.75,96.6,0.518,26.79,86779049.03,80361421.41,12563.99,
Igaci,2703106,igaciense,JOSE PETRUCIO OLIVEIRA BARBOSA,334.346,23995,71.77,94.3,0.564,24.73,118898336.93,155264246.60,12186.03,
Igreja Nova,2703205,igreja-novense,TIAGO GOMES DOS SANTOS,428.023,21372,50.11,97.9,0.568,6.6,225493942.94,110403277.60,23178.66,
Inhapi,2703304,inhapiense,LUIZ CELSO MALTA BRAND&Atilde;O FILHO,372.019,15167,40.77,82.8,0.484,38.17,125145273.07,137981155.00,9497.81,
Jacar&eacute; dos Homens,2703403,jacarezeiro,MARIA DO SOCORRO MELO DA SILVA,149.332,5083,34.12,97.6,0.583,11.76,43781967.28,41009220.68,14453.21,
Jacu&iacute;pe,2703502,jacuipense,MAYARA CRISTINA CAVALCANTE DE FREITAS,209.650,5352,25.64,96.8,0.548,-,61731061.98,66800129.52,27819.57,
Japaratinga,2703601,japaratinguense,JOS&Eacute; SEVERINO DA SILVA,85.693,9219,108.01,96.6,0.570,13.61,60829844.63,62503448.67,29841.33,
Jaramataia,2703700,jaramataiense,RICARDO MARTINS BARBOSA,105.416,4985,47.29,97.1,0.552,21.05,42232320.15,51301703.62,13542.28,
Jequi&aacute; da Praia,2703759,jequiaenses,CARLOS FELIPE CASTRO JATOBA LINS,334.266,9470,28.33,97.4,0.556,8.06,94366775.13,89349521.04,33230.86,
Joaquim Gomes,2703809,joaquimgomense,RITA DE CASSIA CAVALCANTE ANDRADE DE MORAIS,300.863,17150,57.52,93.9,0.531,10.99,105016876.24,92437183.12,21556.45,
Jundi&aacute;,2703908,jundiaense,JORGE SILVIO LUENGO GALV&Atilde;O,88.772,4092,46.08,96.2,0.562,35.71,64318638.28,53087761.24,13301.11,
Junqueiro,2704005,junqueirense,CICERO LEANDRO PEREIRA DA SILVA,247.724,23907,96.51,97.8,0.575,18.87,197427373.49,193259464.60,22253.75,
Lagoa da Canoa,2704104,canoense,EDILZA ALVES DE SOUZA,83.621,18457,220.72,95.2,0.552,6.33,131306151.83,135100115.30,15431.61,
Limoeiro de Anadia,2704203,limoeirense,JAMES MARLAN FERREIRA BARBOSA,309.205,24740,80.01,94.9,0.580,16,165858531.72,171141878.10,23703.54,
Macei&oacute;,2704302,maceioense,JOAO HENRIQUE HOLANDA CALDAS,509.295,957916,1880.77,95,0.721,12.74,4787760835.10,4407460195.00,26642.2,
Major Isidoro,2704401,isidorense,THEOBALDO CAVALCANTI LINS NETTO,437.603,17700,39.98,95.9,0.566,22.12,117779296.06,119024482.70,14226.02,
Maragogi,2704500,maragogiense,DANIEL MENDES DE VASCONCELOS FERREIRA,334.165,32174,96.28,95.6,0.574,12.87,209245203.57,230507470.80,33547.15,
Maravilha,2704609,maravilhense,ANT&Ocirc;NIO JORGE RODRIGUES,332.370,9534,28.68,97.4,0.569,10.81,82774473.35,93023789.56,10253.11,
Marechal Deodoro,2704708,deodorense,ANDR&Eacute; LUIZ BARROS DA SILVA,340.987,60370,177.05,94.6,0.642,14.46,459076007.07,471480300.30,64514.89,
Maribondo,2704807,maribondense,BRUNO ZEFERINO DO CARMO TEIXEIRA,180.107,13679,75.95,97.6,0.597,6.67,79589309.27,80073722.96,14324.64,
Mar Vermelho,2704906,mar-vermelhense,ANDR&Eacute; BRAND&Atilde;O DE ALMEIDA,91.741,3155,34.39,97.8,0.577,-,33575775.83,43184991.47,14663.33,
Mata Grande,2705002,mata-grandense,MARIA FABIANA FARIAS DE ALENCAR,912.483,21844,23.88,94.5,0.504,10.34,130644822.51,156202367.30,14071.19,
Matriz de Camaragibe,2705101,matrizense,FERNANDO HENRIQUE LIMA CAVALCANTE,238.112,23857,100.19,97.3,0.584,18.77,166188600.75,152640479.10,15668.42,
Messias,2705200,messiense,MARCOS JOS&Eacute; HERCULANO DA SILVA,114.156,15405,134.95,96.4,0.568,-,101270441.39,97422753.99,12147.11,
Minador do Negr&atilde;o,2705309,negrense,JOSIAS SOARES DA SILVA,167.462,4845,28.93,97.9,0.563,-,47106815.03,45165625.61,14016.88,
Monteir&oacute;polis,2705408,guaribense,LEONOR MELO MONTEIRO,86.605,7184,82.95,97.6,0.539,18.18,53749488.00,55899981.66,11292.89,
Murici,2705507,muriciense,REMI VASCONCELOS CALHEIROS FILHO,418.028,25187,60.25,93.7,0.527,22.39,171633086.66,178126268.40,20687.62,
Novo Lino,2705606,novo-linense,MARCELA SILVA GOMES DE BARROS,219.327,10020,46.49,93.6,0.521,-,87903471.27,86539885.21,14584.85,
Olho d'&Aacute;gua das Flores,2705705,olho-daguense,JOS&Eacute; LUIZ VASCONCELLOS DOS ANJOS,188.397,20695,109.95,94.7,0.565,12.46,127419043.62,110135703.20,12529.97,
Olho d'&Aacute;gua do Casado,2705804,casadense,CARLOS ALBERTO BEZERRA DA SILVA,327.678,8349,25.48,96.1,0.525,7.35,59086376.61,63778672.53,9775.21,
Olho d'&Aacute;gua Grande,2705903,olho-grandense,MARIA SUZANICE HIGINO BAH&Eacute;,115.509,4330,37.01,97.9,0.503,-,25944828.12,22781515.97,13556.59,
Oliven&ccedil;a,2706000,olivense,JOSIMAR DIONISIO,174.188,10812,61.68,95.8,0.493,11.11,90088568.73,73012778.04,9317.95,
Ouro Branco,2706109,ouro-branquense,TACIA DENYSE DE SIQUEIRA NOBRE,196.560,11446,58.23,95.6,0.547,24.69,77019104.35,85122614.60,9543.68,
Palestina,2706208,palestinense,JOS&Eacute; DJALMA GON&Ccedil;ALVES DA SILVA,38.189,4325,113.25,98.6,0.558,-,37399537.65,41278431.66,9071.45,
Palmeira dos &Iacute;ndios,2706307,palmeirense,LUISA JULIA DUARTE,450.990,71574,158.70,95.1,0.638,12.98,340560669.76,409543976.50,16085.04,
P&atilde;o de A&ccedil;&uacute;car,2706406,p&atilde;o-de-a&ccedil;ucarense,JORGE SILVA DANTAS,688.870,23823,34.58,96.3,0.593,17.34,154795823.82,162030460.00,10967.88,
Pariconha,2706422,pariconhense,ANTONIO TELMO NOIA,254.719,10573,41.51,97.8,0.548,30.12,63208010.88,66336953.23,13747.59,
Paripueira,2706448,paripueirense,CARLOS ABRAH&Atilde;O GOMES DE MOURA,92.813,13835,149.10,96.2,0.605,24.63,75111078.62,78567402.01,17561.86,
Passo de Camaragibe,2706505,camaragibense,ELLISSON SANTOS DA SILVA,251.169,13804,54.93,97.3,0.533,32.26,94370699.22,97079069.25,22090.3,
Paulo Jacinto,2706604,paulo-jacintense,FRANCISCO MANOEL FERREIRA FONTAN,118.457,6576,55.51,97.7,0.589,10.87,49544303.49,50490602.41,14540.74,
Penedo,2706703,penedense,RONALDO PEREIRA LOPES,688.748,58650,85.19,94.6,0.630,13.7,419114577.44,298533565.20,15371.47,
Pia&ccedil;abu&ccedil;u,2706802,pia&ccedil;abu&ccedil;uense,RYMES MARINHO LESSA,243.686,15908,65.28,96.8,0.572,12.15,99549126.57,101430877.30,25653.76,
Pilar,2706901,pilarense,MARIA DE FATIMA RESENDE ROCHA OITICICA,259.646,35370,136.24,96.8,0.610,6.88,341914179.24,360288606.60,19147.73,
Pindoba,2707008,pindobense,JOS&Eacute; CICERO CARDOSO COSTA,117.085,2731,23.32,97.9,0.574,-,38619413.03,35441991.52,20473.17,
Piranhas,2707107,piranhense,TIAGO TORRES FREITAS,403.995,22609,55.96,92.8,0.589,15.46,159263967.02,159080271.00,13584.64,
Po&ccedil;o das Trincheiras,2707206,pocense,JOSE VALMIRO GOMES DA COSTA,284.526,12518,44.04,97,0.526,20.41,88720699.08,107016032.80,8693.95,
Porto Calvo,2707305,porto-calvense,ERONITA SPOSITO LEAO E LIMA,313.435,24071,76.85,95.4,0.586,2.75,144005532.86,168750279.80,15105.53,
Porto de Pedras,2707404,porto-pedrense,ALLAN DE JESUS SILVA,256.564,9295,36.15,97.2,0.541,14.39,79772911.47,82571284.90,43738.21,
Porto Real do Col&eacute;gio,2707503,colegiense,HIGOR JOS&Eacute; SANTOS FREITAS,237.017,20082,85.15,94,0.551,15.75,92164135.26,115489192.60,13337.96,
Quebrangulo,2707602,quebrangulense,MANOEL COSTA TEN&Oacute;RIO,319.829,11080,34.64,96.5,0.559,12.27,87321741.93,99939816.74,16876.56,
Rio Largo,2707701,rio-larguense,PEDRO CARLOS DA SILVA NETO,293.832,93927,319.68,96.6,0.643,10.79,384590384.19,384512442.70,18806.12,
Roteiro,2707800,roteirense,PAULO JOS&Eacute; LEITE TEIXEIRA,128.838,6474,50.21,96.3,0.505,9.52,50173522.56,48573160.97,30769.1,
Santa Luzia do Norte,2707909,nortense,FRANCIS CORREIA BARROS DE ARA&Uacute;JO,28.857,6919,239.77,97.5,0.597,17.09,57480968.09,58259515.62,37770.24,
Santana do Ipanema,2708006,santanense,JOAO EDUARDO BULHOES PORTELA DE MELO,436.087,46220,105.97,95.7,0.591,10.44,304307937.14,243574001.00,13489.5,
Santana do Munda&uacute;,2708105,mundauense,ANDR&Eacute; LUIZ GOES CASTRO,232.169,11323,48.77,86.8,0.519,6.67,83184309.08,82809217.30,132421.08,
S&atilde;o Br&aacute;s,2708204,s&atilde;o-braense,KLINGER QUIRINO SANTOS,138.969,6555,47.15,93.9,0.572,10.53,61583328.40,48861795.51,18535.41,
S&atilde;o Jos&eacute; da Laje,2708303,lajense,ANGELA VANESSA ROCHA PEREIRA BEZERRA,256.603,20813,81.11,92.8,0.573,18.63,137618820.60,132412108.10,24433.4,
S&atilde;o Jos&eacute; da Tapera,2708402,taperense,JARBAS PEREIRA RICARDO,490.880,30604,62.35,96.6,0.527,9.31,158274134.75,229008573.10,10251.63,
S&atilde;o Lu&iacute;s do Quitunde,2708501,quitundense,MARCIA RAFAELA BARROS DE VASCONCELOS,397.257,30873,77.72,90.4,0.536,8.83,127780688.73,120458135.90,27097.07,
S&atilde;o Miguel dos Campos,2708600,miguelense,GEORGE CLEMENTE VIEIRA,335.679,51990,154.88,96.6,0.623,7.65,317541100.02,429571914.80,22027.55,
S&atilde;o Miguel dos Milagres,2708709,milagrense ou miguelense,JADSON LESSA DOS SANTOS,76.852,8482,110.54,97,0.591,22.56,66759339.56,65466346.07,30158.25,
S&atilde;o Sebasti&atilde;o,2708808,salomeense,CHARLES NUNES REGUEIRA,311.979,31786,100.93,95.4,0.549,4.09,156212495.89,157965509.60,24947.59,
Satuba,2708907,satubense,DIOGENES JOS&Eacute; NETO DE AMORIM,41.268,24278,588.30,91,0.660,22.8,71827118.44,78061028.41,18584.75,
Senador Rui Palmeira,2708956,rui-palmeirense,JO&Atilde;O CARLOS RODRIGUES,338.569,12303,36.34,97.6,0.518,5.71,87275812.01,94495799.57,8721.59,
Tanque d'Arca,2709004,tanquense,JUVENIL LOPES DE OLIVEIRA,124.616,5796,46.51,97.5,0.555,20.41,52022671.19,54252287.64,15070.53,
Taquarana,2709103,taquaranense,GERALDO CICERO DA SILVA,153.841,19032,123.71,97.7,0.541,10.75,127625304.97,138087288.90,25335.01,
Teot&ocirc;nio Vilela,2709152,vilelano,PEDRO HENRIQUE DE JESUS PEREIRA,299.222,38053,127.17,96.9,0.564,12.22,285772514.93,281249767.50,30461.61,
Traipu,2709202,traipusense,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,679.998,23565,34.57,95.2,0.532,17.34,142065953.93,160775720.40,10630.43,
Uni&atilde;o dos Palmares,2709301,palmarino,JOS&Eacute; IRAN MENEZES DA SILVA JUNIOR,420.376,59280,141.02,96.2,0.593,16.45,265854142.42,349736432.50,21467.05,
Vi&ccedil;osa,2709400,vi&ccedil;osense,JO&Atilde;O VICTOR CALHEIROS AMORIM SANTOS,365.644,24092,65.49,94.4,0.586,6.1,124803237.75,134321174.40,23158.1,